"The Great Mick",SJ,1,$200,SPORTS NICKNAMES,Mickey Mantle,<a href="http://www.j-archive.com/showplayer.php?player_id=13490" rel="external" target="_blank">Darrell Noe</a> a postal carrier from Fort Worth Texas,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
"The Shoe",SJ,2,$400,SPORTS NICKNAMES,Willie Shoemaker,<a href="http://www.j-archive.com/showplayer.php?player_id=13490" rel="external" target="_blank">Darrell Noe</a> a postal carrier from Fort Worth Texas,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
"The Rock of Notre Dame",SJ,3,$600,SPORTS NICKNAMES,Knute Rockne,<a href="http://www.j-archive.com/showplayer.php?player_id=13489" rel="external" target="_blank">George O'Neal</a> a retired management analyst from Phoenix Arizona,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
"The Brown Bomber",SJ,4,$800,SPORTS NICKNAMES,Joe Louis,<a href="http://www.j-archive.com/showplayer.php?player_id=13490" rel="external" target="_blank">Darrell Noe</a> a postal carrier from Fort Worth Texas,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
"Papa Bear",SJ,5,$1000,SPORTS NICKNAMES,George Halas,<a href="http://www.j-archive.com/showplayer.php?player_id=13490" rel="external" target="_blank">Darrell Noe</a> a postal carrier from Fort Worth Texas,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
This "Bluegrass State" has an International Museum of the Horse in Lexington,SJ,6,$200,MUSEUMS,Kentucky,<a href="http://www.j-archive.com/showplayer.php?player_id=13488" rel="external" target="_blank">Frances Taliaferro</a> a guidance counselor and teacher from New York City New York,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
It was convenient that Edmund Spenser died in London because he was buried in Poets' Corner here,SJ,7,$200,POETS,Westminster Abbey,<a href="http://www.j-archive.com/showplayer.php?player_id=13489" rel="external" target="_blank">George O'Neal</a> a retired management analyst from Phoenix Arizona,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
Collier's' Ency. claims this author of "The Bells" was "a great swimmer" &amp; "did not write while drunk",SJ,8,$400,POETS,Edgar Allan Poe,<a href="http://www.j-archive.com/showplayer.php?player_id=13489" rel="external" target="_blank">George O'Neal</a> a retired management analyst from Phoenix Arizona,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
Although there is a Ryukyu language most Ryukyuans speak this language,SJ,9,$800,LANGUAGES,Japanese,<a href="http://www.j-archive.com/showplayer.php?player_id=13488" rel="external" target="_blank">Frances Taliaferro</a> a guidance counselor and teacher from New York City New York,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
He wrote the poem "Chicago Poet" for "Cornhuskers" his 1918 collection,SJ,10,$600,POETS,Carl Sandburg,<a href="http://www.j-archive.com/showplayer.php?player_id=13489" rel="external" target="_blank">George O'Neal</a> a retired management analyst from Phoenix Arizona,<a href = "http://www.j-archive.com/showgame.php?game_id=6758">Show #2287 - Tuesday July 12 1994</a>
