SJ,1,$200,SUPREME COURT JUSTICES,"My Grandfather's Son" is a memoir by this current justice whose granddad helped him escape rural Georgia poverty,Clarence Thomas,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,2,$200,BASEBALL HISTORY,In 1881 the owner of the Chicago White Stockings said these "must come down" to keep teams from bankruptcy,salaries,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,3,$400,SUPREME COURT JUSTICES,<a href="http://www.j-archive.com/media/2008-07-01_J_03.jpg" target="_blank">This</a> 1962 graduate of Stanford Law filled a vacancy created by Justice Potter Stewart,Sandra Day O'Connor,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,4,$600,SUPREME COURT JUSTICES,Until his nomination was rejected John Rutledge briefly succeeded this first chief justice,John Jay,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,5,$800,SUPREME COURT JUSTICES,U.C. Berkeley has a legal institute named for this former governor &amp; Chief Justice of the U.S.,Earl Warren,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,6,$1000,SUPREME COURT JUSTICES,A private university in Waltham Mass. is named for this Jewish justice who served from 1916 to 1939,Brandeis,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,7,$200,GAMBLING,(<a href="http://www.j-archive.com/media/2008-07-01_J_07.jpg" target="_blank">Cheryl of the Clue Crew stands at a craps table.</a>) For my first roll in a round of craps I'm hoping to roll either of these 2 numbers &amp; win right away,7 &amp; 11,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,8,$400,BASEBALL HISTORY,In addition to being baseball's all-time hit king he is also the games leader with 3,562,Pete Rose,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,9,$600,BASEBALL HISTORY,From 1954 to 1996 the Dodgers had only 2 managers: Walter Alston &amp; this man,Tommy Lasorda,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,10,$200,"LAND" OF OPPORTUNITY,A lopsided victory in a political election,a landslide,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,11,$400,"LAND" OF OPPORTUNITY,A secreting cell mass,a gland,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,12,$600,"LAND" OF OPPORTUNITY,www.dhs.gov is this cabinet department's official website,Homeland Security,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,13,$800,"LAND" OF OPPORTUNITY,When a hurricane or an explorer comes ashore it's known as "making" this,landfall,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,14,$800,BASEBALL HISTORY,In 1996 he became the Yankees' starting shortstop &amp; the team hasn't missed the playoffs since,Derek Jeter,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,15,$1000,BASEBALL HISTORY,Agricultural term for the system created by Branch Rickey, of minor league teams controlled by a big league team,farm system,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,16,$1000,"LAND" OF OPPORTUNITY,This largest antelope of Africa can weigh as much as 2000 pounds,an eland,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
